cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
松江区,3,14,0,11,0
嘉定区,3,9,0,6,0
闵行区,2,19,0,17,0
普陀区,2,11,0,9,0
杨浦区,2,9,0,7,0
奉贤区,2,9,0,7,0
虹口区,2,7,0,5,0
黄浦区,2,6,0,4,0
崇明区,2,4,0,2,0
长宁区,1,13,0,12,0
金山区,1,3,0,2,0
青浦区,0,5,0,5,0
待明确地区,-2,0,0,0,2
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
西安,34,120,0,85,1
汉中,13,26,0,13,0
安康,9,26,0,17,0
渭南,7,15,0,8,0
咸阳,2,17,0,15,0
铜川,2,8,0,6,0
商洛,2,7,0,5,0
宝鸡,1,13,0,12,0
杨凌,1,1,0,0,0
延安,0,8,0,8,0
榆林,0,3,0,3,0
韩城,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
唐山,30,58,0,27,1
沧州,14,48,0,31,3
石家庄,7,29,0,22,0
邯郸,5,32,0,27,0
邢台,3,23,0,19,1
张家口,2,34,0,32,0
廊坊,2,30,0,28,0
秦皇岛,1,10,0,8,1
保定,0,32,0,32,0
衡水,0,8,0,8,0
承德,0,7,0,7,0
香港,58,79,0,19,2
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
昆明,17,53,0,36,0
昭通,11,25,0,14,0
红河州,5,9,0,4,0
曲靖,4,13,0,9,0
保山,4,9,0,5,0
德宏州,3,5,0,2,0
西双版纳,2,15,0,12,1
玉溪,1,14,0,12,1
大理州,1,13,0,12,0
丽江,0,7,0,7,0
普洱,0,4,0,4,0
楚雄州,0,4,0,4,0
文山州,0,2,0,2,0
临沧,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
海口,19,39,0,20,0
三亚,15,54,0,38,1
万宁,4,13,0,9,0
昌江,4,7,0,3,0
儋州,2,15,0,12,1
澄迈,2,9,0,6,1
保亭,2,3,0,1,0
琼海,1,6,0,4,1
临高,1,6,0,5,0
东方,1,3,0,2,0
陵水,0,4,0,4,0
定安,0,3,0,2,1
文昌,0,3,0,3,0
乐东,0,2,0,2,0
琼中,0,1,0,1,0
待明确地区,-4,0,0,4,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
宝坻区,32,60,0,26,2
河东区,4,15,0,10,1
南开区,4,6,0,2,0
北辰区,3,6,0,3,0
宁河区,3,4,0,1,0
河北区,2,12,0,10,0
和平区,1,6,0,5,0
外地来津人员,1,6,0,5,0
滨海新区,1,3,0,2,0
东丽区,0,4,0,4,0
河西区,0,4,0,4,0
西青区,0,4,0,4,0
武清区,0,2,0,2,0
红桥区,0,2,0,2,0
津南区,0,1,0,1,0
待明确地区,-6,0,0,6,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
伊犁州,12,18,0,6,0
乌鲁木齐,10,23,0,13,0
兵团第四师,10,10,0,0,0
兵团第九师,2,4,0,1,1
吐鲁番市,2,3,0,1,0
兵团第八师石河子市,2,4,0,1,1
兵团第十二师,2,3,0,1,0
兵团第六师五家渠市,2,2,0,0,0
昌吉州,1,4,0,3,0
巴州,1,3,0,2,0
兵团第七师,0,1,0,1,0
阿克苏地区,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
遵义,14,32,0,18,0
贵阳,12,36,0,23,1
毕节,9,23,0,14,0
黔南州,4,17,0,13,0
六盘水,1,10,0,8,1
黔东南州,1,10,0,9,0
安顺,1,4,0,3,0
铜仁,0,10,0,10,0
黔西南州,0,4,0,4,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
锡林郭勒盟,7,9,0,2,0
包头,6,11,0,5,0
赤峰,6,9,0,3,0
通辽,6,7,0,1,0
呼和浩特,5,7,0,2,0
呼伦贝尔,3,7,0,4,0
鄂尔多斯,2,11,0,9,0
巴彦淖尔,2,8,0,6,0
乌兰察布,2,3,0,1,0
乌海市,1,2,0,1,0
兴安盟,1,1,0,0,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
晋中,14,37,0,23,0
太原,6,20,0,14,0
晋城,5,10,0,5,0
大同,4,12,0,8,0
长治,3,8,0,5,0
忻州,3,7,0,4,0
运城,2,19,0,17,0
朔州,2,8,0,6,0
吕梁,0,6,0,6,0
阳泉,0,4,0,4,0
临汾,0,2,0,2,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
大连,8,19,0,11,0
葫芦岛,6,12,0,5,1
