city,case,cure,death,lat,lon
Linxia,1,0,0,35.518719,103.050791
Dingxi,1,0,0,35.58,104.62
Yinchuan,1,0,0,38.478591,106.24265
Zhongwei,1,0,0,37.360639,105.111278
Guyuan,1,0,0,36.206829,106.254011
Taiwan,3,0,0,23.5,121
Urumqi,3,0,0,43.419108,87.360244
Ili,1,0,0,43.9,81.32
Macau,2,0,0,22.204118,113.557519
Xining,1,0,0,36.686368,101.712664
Chengdu,22,0,0,30.67,104.06
Mianyang,5,0,0,31.46,104.73
Guang An,2,0,0,30.3,106
Suining,2,0,0,30.5,10556
Luzhou,2,0,0,27.88,106.27
Nanchong,2,0,0,30.84,106.12
Ganzi,2,0,0,31.62,99.99
Deyang,1,0,0,31.33,104.23
Ya An,1,0,0,30,103
Dazhou,1,0,0,31.2,107.5
Zigong,1,0,0,29.34,104.78
Neijiang,1,0,0,29.6,105
Leshan,1,0,0,29.2,103.63
Meishan,1,0,0,29.9,103.5
