,city_cn,province_cn,city,province,lat,lon,case,death,cure,remain
139,泰安,中国山东,Tai An,Shandong China,36.189,117.1,35,2,33,0
140,合肥,中国安徽,Hefei,Anhui China,31.790724,117.353913,174,1,173,0
141,阜阳,中国安徽,Fuyang,Anhui China,33.07351,115.734026,155,0,155,0
142,亳州,中国安徽,Bozhou,Anhui China,33.782924,115.812814,108,0,108,0
143,安庆,中国安徽,Anqing,Anhui China,31.859252,117.216005,83,0,83,0
144,马鞍山,中国安徽,Maanshan,Anhui China,31.659719,118.554558,38,0,38,0
145,铜陵,中国安徽,Tongling,Anhui China,30.952359,117.918516,29,0,29,0
146,六安,中国安徽,Lu An,Anhui China,31.753039,116.302573,69,0,69,0
147,滁州,中国安徽,Chuzhou,Anhui China,32.310209,118.270828,13,0,13,0
148,池州,中国安徽,Chizhou,Anhui China,30.514086,117.508478,17,0,17,0
149,蚌埠,中国安徽,Bengbu,Anhui China,33.023815,117.388184,160,5,155,0
150,芜湖,中国安徽,Wuhu,Anhui China,31.191699,118.532462,34,0,34,0
151,黄山,中国安徽,Huangshan,Anhui China,29.7,118.314,9,0,9,0
152,淮北,中国安徽,Huaibei,Anhui China,33.94,116.9,27,0,27,0
153,淮南,中国安徽,Huainan,Anhui China,32.58,117,27,0,27,0
154,苏州,中国安徽,Suzhou,Anhui China,33.639,116.96,87,0,87,0
155,宣城,中国安徽,Xuancheng,Anhui China,30.92,118.8,6,0,6,0
156,赣州,中国江西,Ganzhou,Jiangxi China,25.838711,114.937365,76,1,75,0
157,福州,中国江西,Fuzhou,Jiangxi China,27.924732,116.362974,72,1,71,0
158,上饶,中国江西,Shangrao,Jiangxi China,28.40568,117.944367,123,0,123,0
159,宜春,中国江西,Yichun,Jiangxi China,27.839383,114.290358,106,0,106,0
160,南昌,中国江西,Nanchang,Jiangxi China,28.620772,116.071261,230,0,230,0
161,萍乡,中国江西,Pingxiang,Jiangxi China,27.53371,113.739818,33,0,33,0
162,九江,中国江西,Jiujiang,Jiangxi China,29.64023,115.842035,118,0,118,0
163,吉安,中国江西,Ji An,Jiangxi China,27.160925,114.960437,22,0,22,0
164,新余,中国江西,Xinyu,Jiangxi China,27.850578,115.007851,130,0,130,0
165,景德镇,中国江西,Jingdezhen,Jiangxi China,29.303231,117.234119,6,0,6,0
166,鹰潭,中国江西,Yingtan,Jiangxi China,28.261751,117.023752,18,0,18,0
167,赣江新区,中国江西,Gan River New District,Jiangxi China,28.815514,115.946982,1,0,1,0
168,桂林,中国广西,Guilin,Guangxi China,25.112806,110.371485,32,0,32,0
169,北海,中国广西,Beihai,Guangxi China,21.574915,109.422489,44,1,42,1
170,柳州,中国广西,Liuzhou,Guangxi China,24.471743,109.413915,24,0,23,1
171,河池,中国广西,Hechi,Guangxi China,24.660762,107.873444,28,1,27,0
172,梧州,中国广西,Wuzhou,Guangxi China,23.5602,111.189914,5,0,5,0
173,百色,中国广西,Baise,Guangxi China,23.941866,106.505596,3,0,3,0
174,防城港,中国广西,Fangchenggang,Guangxi China,21.662036,108.449166,19,0,17,2
175,南宁,中国广西,Nanning,Guangxi China,22.894927,108.573583,55,0,54,1
176,榆林,中国广西,Yulin,Guangxi China,22.557213,110.064534,3,0,3,0
177,贺州,中国广西,Hezhou,Guangxi China,24.415,111.54,4,0,4,0
178,钦州,中国广西,Qinzhou,Guangxi China,21.97,108.617,8,0,8,0
179,贵港,中国广西,Guigang,Guangxi China,23.1,109.59,8,0,8,0
180,来宾,中国广西,Laibin,Guangxi China,23.746383,109.218231,11,0,9,2
181,三亚,中国海南,Sanya,Hainan China,18.397248,109.429348,54,1,53,0
