city,province_cn,city_cn,case,death,cure,lat,lon,province
Danzhou,海南,儋州,11,0,1,19.571153,109.413973,Hainan
Lingao,海南,临高,5,0,0,19.805922,109.724102,Hainan
Lingshui,海南,陵水,4,0,0,18.506,110.0375,Hainan
Chengmai,海南,澄迈,7,1,1,19.7,110,Hainan
Qiongzhong,海南,琼中,1,0,0,19.04,109.82,Hainan
Dongfang,海南,东方,3,0,0,19.09,108.66,Hainan
Qionghai,海南,琼海,6,0,0,19.256,110.468,Hainan
Ding An,海南,定安,3,0,0,19.68,110.36,Hainan
Changjiang,海南,昌江,5,0,0,19.298,109.04,Hainan
Ledong,海南,乐东,2,0,0,18.75,109.168,Hainan
Wenchang,海南,文昌,2,0,0,19.539,110.787,Hainan
Baoting,海南,保亭,3,0,0,18.64104,109.694892,Hainan
Fuzhou,福建,福州,59,0,10,26.221752,119.314923,Fujian
Xiamen,福建,厦门,25,0,2,24.675485,118.280803,Fujian
Quanzhou,福建,泉州,40,0,4,25.173479,118.819017,Fujian
Zhangzhou,福建,漳州,16,0,1,24.575089,117.633366,Fujian
Ningde,福建,宁德,21,0,4,26.763865,119.454559,Fujian
Sanming,福建,三明,12,0,1,26.173967,117.516896,Fujian
Putian,福建,莆田,47,0,1,25.41,119,Fujian
Nanping,福建,南平,14,0,1,26.63,118.18,Fujian
Longyan,福建,龙岩,5,0,0,25.1,117,Fujian
Changzhou,江苏,常州,31,0,5,31.672903,119.943432,Jiangsu
Nanjing,江苏,南京,71,0,20,32.40064,118.848166,Jiangsu
Suzhou,江苏,苏州,75,0,4,31.332306,120.630878,Jiangsu
Lianyungang,江苏,连云港,32,0,2,34.51416,119.162196,Jiangsu
Wuxi,江苏,无锡,38,0,3,31.466579,120.248502,Jiangsu
Nantong,江苏,南通,32,0,2,32.071256,120.823875,Jiangsu
Yangzhou,江苏,扬州,18,0,2,32.408505,119.427778,Jiangsu
Yancheng,江苏,盐城,17,0,3,33.265898,119.968501,Jiangsu
Suqian,江苏,宿迁,12,0,0,34.00953,118.343693,Jiangsu
Zhenjiang,江苏,镇江,12,0,1,32.198,119.46,Jiangsu
Huai An,江苏,淮安,44,0,2,33.589,119.03,Jiangsu
Taizhou,江苏,泰州,30,0,4,32.45,119.91,Jiangsu
Xuzhou,江苏,徐州,56,0,3,34.27,117.186999,Jiangsu
Shenyang,辽宁,沈阳,26,0,3,41.843551,123.242847,Liaoning
Dalian,辽宁,大连,16,0,3,38.92,121.62,Liaoning
Chaoyang,辽宁,朝阳,6,0,0,41.55,120.4,Liaoning
Tieling,辽宁,铁岭,3,0,0,42.222765,123.914529,Liaoning
Huludao,辽宁,葫芦岛,9,0,0,40.75,120.84,Liaoning
Benxi,辽宁,本溪,3,0,0,41.19567,124.158564,Liaoning
Panjin,辽宁,盘锦,11,0,0,41.112,122.06,Liaoning
Yingkou,辽宁,营口,1,0,0,40.55,122.248,Liaoning
Dandong,辽宁,丹东,7,0,1,40.008,124.3545,Liaoning
