cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
鄂尔多斯,0,11,0,11,0
赤峰,0,9,0,9,0
锡林郭勒盟,0,9,0,9,0
巴彦淖尔,0,8,0,7,1
通辽,0,7,0,7,0
呼伦贝尔,0,7,0,7,0
乌兰察布,0,3,0,3,0
乌海市,0,2,0,2,0
兴安盟,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
信阳,1,274,0,271,2
境外输入人员,1,1,0,0,0
郑州,0,157,0,152,5
南阳,0,156,0,153,3
驻马店,0,139,0,139,0
商丘,0,91,0,88,3
周口,0,76,0,75,1
平顶山,0,58,0,57,1
新乡,0,57,0,54,3
安阳,0,53,0,53,0
许昌,0,39,0,38,1
漯河,0,35,0,35,0
焦作,0,32,0,31,1
洛阳,0,31,0,30,1
开封,0,26,0,26,0
鹤壁,0,19,0,19,0
濮阳,0,17,0,17,0
三门峡,0,7,0,6,1
济源,0,5,0,5,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
唐山,2,58,0,55,1
沧州,0,48,0,45,3
张家口,0,41,0,41,0
保定,0,32,0,32,0
邯郸,0,32,0,32,0
廊坊,0,30,0,30,0
石家庄,0,29,0,29,0
邢台,0,23,0,22,1
秦皇岛,0,10,0,9,1
衡水,0,8,0,8,0
承德,0,7,0,7,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
曲靖,1,13,0,12,0
德宏州,1,5,0,4,0
昆明,0,53,0,53,0
昭通,0,25,0,25,0
西双版纳,0,15,0,14,1
玉溪,0,14,0,13,1
大理州,0,13,0,13,0
红河州,0,9,0,9,0
保山,0,9,0,9,0
丽江,0,7,0,7,0
普洱,0,4,0,4,0
楚雄州,0,4,0,4,0
文山州,0,2,0,2,0
临沧,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
海口,1,39,0,38,0
儋州,1,15,0,13,1
三亚,0,54,0,53,1
万宁,0,13,0,13,0
澄迈,0,9,0,8,1
昌江,0,7,0,7,0
琼海,0,6,0,5,1
临高,0,6,0,6,0
陵水,0,4,0,4,0
定安,0,3,0,2,1
文昌,0,3,0,3,0
东方,0,3,0,2,1
保亭,0,3,0,3,0
乐东,0,2,0,2,0
琼中,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
无锡,1,55,0,54,0
南京,0,93,0,93,0
苏州,0,87,0,87,0
徐州,0,79,0,79,0
淮安,0,66,0,66,0
常州,0,51,0,51,0
连云港,0,48,0,48,0
南通,0,40,0,40,0
泰州,0,37,0,37,0
盐城,0,27,0,27,0
扬州,0,23,0,23,0
宿迁,0,13,0,13,0
镇江,0,12,0,12,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
宝坻区,1,60,0,57,2
河东区,0,15,0,14,1
河北区,0,12,0,12,0
北辰区,0,6,0,6,0
南开区,0,6,0,6,0
和平区,0,6,0,6,0
外地来津人员,0,6,0,6,0
东丽区,0,4,0,4,0
宁河区,0,4,0,4,0
河西区,0,4,0,4,0
西青区,0,4,0,4,0
滨海新区,0,3,0,3,0
武清区,0,2,0,2,0
红桥区,0,2,0,2,0
津南区,0,2,0,2,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
晋中,1,37,0,36,0
太原,0,20,0,20,0
运城,0,19,0,19,0
大同,0,12,0,12,0
晋城,0,10,0,10,0
长治,0,8,0,8,0
朔州,0,8,0,8,0
忻州,0,7,0,7,0
吕梁,0,6,0,6,0
阳泉,0,4,0,4,0
临汾,0,2,0,2,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
通化,1,6,0,5,0
长春,0,45,0,45,0
四平市,0,15,0,14,1
辽源,0,7,0,7,0
公主岭,0,6,0,6,0
吉林市,0,5,0,5,0
延边,0,5,0,5,0
松原,0,2,0,2,0
梅河口,0,1,0,1,0
白城,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
合肥,0,174,0,173,1
蚌埠,0,160,0,155,5
阜阳,0,155,0,155,0
亳州,0,108,0,108,0
安庆,0,83,0,83,0
六安,0,69,0,69,0
宿州,0,41,0,41,0
马鞍山,0,38,0,38,0
芜湖,0,34,0,34,0
铜陵,0,29,0,29,0
淮北,0,27,0,27,0
淮南,0,27,0,27,0
池州,0,17,0,17,0
滁州,0,13,0,13,0
黄山,0,9,0,9,0
宣城,0,6,0,6,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
南昌,0,230,0,230,0
新余,0,130,0,130,0
上饶,0,123,0,123,0
九江,0,118,0,118,0
宜春,0,106,0,106,0
赣州,0,76,0,75,1
抚州,0,72,0,72,0
萍乡,0,33,0,33,0
吉安,0,22,0,22,0
鹰潭,0,18,0,18,0
景德镇,0,6,0,6,0
赣江新区,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
福州,0,72,0,71,1
莆田,0,56,0,56,0
泉州,0,47,0,47,0
厦门,0,35,0,35,0
宁德,0,26,0,26,0
漳州,0,20,0,20,0
南平,0,20,0,20,0
三明,0,14,0,14,0
龙岩,0,6,0,6,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
乌鲁木齐,0,23,0,23,0
伊犁州,0,18,0,18,0
兵团第四师,0,10,0,9,1
兵团第八师石河子市,0,4,0,3,1
兵团第九师,0,4,0,3,1
昌吉州,0,4,0,4,0
吐鲁番市,0,3,0,3,0
巴音郭楞,0,3,0,3,0
兵团第十二师,0,3,0,3,0
兵团第六师五家渠市,0,2,0,2,0
兵团第七师,0,1,0,1,0
阿克苏地区,0,1,0,1,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
西宁,0,15,0,15,0
海北州,0,3,0,3,0
澳门,0,10,0,10,0
cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount
拉萨,0,1,0,1,0
天津,1,136,0,132,3
上海市,,,,,
